Top pages,8/1/25 - 8/30/25 Clicks,7/1/25 - 7/31/25 Clicks,8/1/25 - 8/30/25 Impressions,7/1/25 - 7/31/25 Impressions,8/1/25 - 8/30/25 CTR,7/1/25 - 7/31/25 CTR,8/1/25 - 8/30/25 Position,7/1/25 - 7/31/25 Position
https://www.kaaonline.org/,70,15,1535,589,4.56%,2.55%,12.53,32.33
https://www.kaaonline.org/classes,13,3,531,151,2.45%,1.99%,7.41,8.88
https://www.kaaonline.org/kokomo-art-center,8,0,383,90,2.09%,0%,6.87,7.76
https://www.kaaonline.org/artists,4,4,370,99,1.08%,4.04%,11.37,12.44
https://www.kaaonline.org/about,4,1,343,73,1.17%,1.37%,4.33,3.66
https://www.kaaonline.org/artworks-gallery,4,2,304,75,1.32%,2.67%,5.61,4.44
https://www.kaaonline.org/membership-benefits,4,1,78,12,5.13%,8.33%,9.46,14.42
https://www.kaaonline.org/digital-photography,4,1,69,18,5.8%,5.56%,26.32,26.06
https://www.kaaonline.org/recycledartshow,3,1,102,22,2.94%,4.55%,19.34,21.14
https://www.kaaonline.org/laura-groves,2,0,22,5,9.09%,0%,9.32,7.2
https://www.kaaonline.org/don-wilka,2,2,20,8,10%,25%,11.2,1.75
https://www.kaaonline.org/peggy-ragland-hobson,2,0,19,7,10.53%,0%,12.95,8.86
https://www.kaaonline.org/volunteer,2,0,14,4,14.29%,0%,31.57,37.5
https://www.kaaonline.org/ramona-daniels,1,0,58,17,1.72%,0%,18,8.47
https://www.kaaonline.org/membership,1,0,39,12,2.56%,0%,3.54,3.33
https://www.kaaonline.org/zentangle-r,1,2,35,9,2.86%,22.22%,37.94,17.67
https://www.kaaonline.org/colette-inderhees,1,0,33,8,3.03%,0%,35.94,10.75
https://www.kaaonline.org/event-details/trash-to-treasure-junk-journaling-workshop,1,0,5,0,20%,0%,3.8,0
https://www.kaaonline.org/donate,1,0,4,1,25%,0%,15.5,10
https://www.kaaonline.org/coming-soon-03-1,0,0,200,44,0%,0%,4.12,4.11
https://www.kaaonline.org/marilyn-aleman,0,0,71,7,0%,0%,19.27,6.86
https://www.kaaonline.org/calendar,0,0,66,0,0%,0%,4.91,0
https://www.kaaonline.org/steve-creighton,0,0,39,8,0%,0%,12.49,7
https://www.kaaonline.org/dixie-ben-net,0,0,38,5,0%,0%,12.26,39
https://www.kaaonline.org/lesley-wysong,0,0,34,14,0%,0%,5.94,3.64
https://www.kaaonline.org/event-details/halloween-junk-journaling-workshop,0,0,24,0,0%,0%,7.42,0
https://www.kaaonline.org/about-1,0,0,20,8,0%,0%,19.05,12.62
https://www.kaaonline.org/rebecca-rayls,0,1,19,8,0%,12.5%,25.11,13.38
https://www.kaaonline.org/mark-hobson,0,0,18,2,0%,0%,34.44,50
https://www.kaaonline.org/event-details/junk-journal-workshop-march-15th-2025,0,0,17,1,0%,0%,9.59,41
https://www.kaaonline.org/sip-paint-painting-parties,0,0,16,6,0%,0%,8.62,8.5
https://www.kaaonline.org/event-details/halloween-junk-journal-class-2024-09-14-13-00,0,0,7,2,0%,0%,16,57.5
https://www.kaaonline.org/event-details/halloween-junk-journal-class-2024-09-21-13-00,0,0,7,1,0%,0%,24.71,24
https://www.kaaonline.org/event-details/holiday-bazaar-at-artworks-gallery,0,0,6,0,0%,0%,8.17,0
https://www.kaaonline.org/bazaar,0,0,4,0,0%,0%,2.5,0
https://www.kaaonline.org/event-details/paper-cutting-class-by-christina-hollering,0,0,4,1,0%,0%,9.5,3
https://www.kaaonline.org/event-details/fall-junk-journal-class,0,0,4,0,0%,0%,10,0
https://www.kaaonline.org/event-details/christmas-junk-journal-class-1,0,0,4,0,0%,0%,10.5,0
https://www.kaaonline.org/lisa-ananich-freeland,0,0,3,0,0%,0%,10.33,0
https://www.kaaonline.org/event-details/christmas-junk-journal-class,0,0,2,0,0%,0%,14.5,0
https://www.kaaonline.org/corinne-mcauley,0,0,1,1,0%,0%,2,1
https://www.kaaonline.org/shelly-wilder,0,0,1,0,0%,0%,3,0
