Top queries,Clicks,Impressions,CTR,Position
kokomo art association,24,37,64.86%,1
kaa online,3,13,23.08%,8.85
kokomo art center,2,21,9.52%,2.14
kokomo art gallery,2,11,18.18%,1.64
artworks gallery,1,100,1%,63.04
ramona daniels,1,22,4.55%,6.95
mona daniels,1,4,25%,12.75
art near me,1,2,50%,2
art classes near me,1,2,50%,2.5
painting party near me,1,1,100%,8
kaaonline,0,236,0%,6.36
indiana artists,0,27,0%,41.85
kokomo canvas,0,25,0%,9.6
yoga studio kokomo,0,21,0%,48.05
pottery painting kokomo,0,18,0%,10.33
pottery kokomo,0,13,0%,10.08
painting near me,0,12,0%,7.75
steve creighton,0,11,0%,13
kokomo pottery,0,10,0%,11.1
photography kokomo,0,10,0%,27.4
photography kokomo indiana,0,10,0%,44
kokomo in know 2.0,0,9,0%,6.44
indiana art,0,8,0%,66.62
peggy hobson,0,7,0%,7.14
www.kaa,0,7,0%,7.14
kaa gallery,0,7,0%,7.57
kokomo center,0,7,0%,42
"""art association"" housed in high school midwest",0,6,0%,1
pottery classes near me,0,6,0%,7.33
downtown kokomo indiana,0,6,0%,25.67
painters kokomo,0,6,0%,28
at artworks,0,6,0%,48.5
art museum,0,5,0%,3.8
kokomo,0,5,0%,11.6
logansport art association,0,5,0%,29.2
kokomo website,0,5,0%,47.8
artist in indiana,0,5,0%,67.8
paint and sip,0,4,0%,5
art association,0,4,0%,9
kaa website,0,4,0%,9
indiana art association,0,4,0%,16
kaa art,0,4,0%,17.25
"daniels oil painting -site:wikipedia.org -site:youtube.com -site:amazon.com 
-site:artsper.com -site:artprice.com -site:facebook.com -site:x.com 
-site:perrotin.com -site:artmajeur.com -site:singulart.com 
-site:instagram.com -site:.gov",0,4,0%,53.75
art works gallery,0,4,0%,68.5
paint and sip near me,0,3,0%,12.33
aleman artist,0,3,0%,22.67
downtown kokomo,0,3,0%,30
ramona painting,0,3,0%,54.67
artists in indiana,0,3,0%,60
coca art gallery,0,3,0%,75.67
"kokomo curtain call, performance art theatre, kokomo",0,3,0%,77
sugar creek art center,0,3,0%,80.33
art gallery near me,0,2,0%,1.5
fine arts studio,0,2,0%,4.5
pottery lessons near me,0,2,0%,4.5
art school near me,0,2,0%,5
kaa,0,2,0%,5
sip and paint,0,2,0%,6
painting classes near me,0,2,0%,6.5
art store near me,0,2,0%,8
ceramic classes near me,0,2,0%,8
art gallery phone number,0,2,0%,8.5
pottery class,0,2,0%,8.5
events in kokomo in,0,2,0%,10
recycled art for sale,0,2,0%,25
kokomo indiana downtown,0,2,0%,31
kaa 1,0,2,0%,35.5
kokomo logo,0,2,0%,39
holidays in kokomo,0,2,0%,70.5
3d recycled art,0,2,0%,72
indiana art center,0,2,0%,72
kokomo indiana usa,0,2,0%,72
kokomo vacation,0,1,0%,1
poster shops near me,0,1,0%,1
the art gallery near me,0,1,0%,1
things to do in kokomo indiana,0,1,0%,1
art classes,0,1,0%,2
art gallery,0,1,0%,2
art museums near me,0,1,0%,2
art stop,0,1,0%,2
artworks,0,1,0%,2
sculpture artists near me,0,1,0%,2
artworks photos,0,1,0%,3
"events in windfall, in",0,1,0%,3
kokomo art,0,1,0%,3
plein air painting classes near me,0,1,0%,3
art,0,1,0%,4
art museum near me,0,1,0%,4
artist near me for drawing,0,1,0%,4
"events in sharpsville, in",0,1,0%,4
fine arts studio near me,0,1,0%,4
photography classes,0,1,0%,4
ceramics classes,0,1,0%,5
paint place near me,0,1,0%,5
painting groups near me,0,1,0%,5
watercolor painting classes near me,0,1,0%,5
classes near me,0,1,0%,6
fine arts studios,0,1,0%,6
galaries,0,1,0%,6
pottery class near me,0,1,0%,6
water painting classes near me,0,1,0%,6
art club,0,1,0%,7
ceramics classes near me,0,1,0%,7
wood painting classes near me,0,1,0%,8
art schools near me,0,1,0%,9
kids art classes near me,0,1,0%,9
painting and sip near me,0,1,0%,9
photography classes near me,0,1,0%,9
pottery making near me,0,1,0%,9
workshops near me,0,1,0%,9
art is in,0,1,0%,10
art store,0,1,0%,10
art supplies near me,0,1,0%,10
"events in kokomo, in",0,1,0%,10
paint ceramics near me,0,1,0%,10
exhibit near me,0,1,0%,11
fine arts,0,1,0%,11
pottery studios near me,0,1,0%,11
art classes college,0,1,0%,12
ken gardner kokomo,0,1,0%,13
pottery places near me,0,1,0%,13
paint parties near me,0,1,0%,14
art galleries,0,1,0%,15
inderhees,0,1,0%,16
recycled art exhibition,0,1,0%,20
avon arts association,0,1,0%,32
hamilton county artists association,0,1,0%,38
kaa logo,0,1,0%,40
kokomo center township,0,1,0%,40
kokomo arts pavilion,0,1,0%,41
volunteer opportunities kokomo,0,1,0%,42
mark hobson art,0,1,0%,43
kaa location,0,1,0%,45
carver center kokomo indiana,0,1,0%,49
"kokomo, indiana, united states",0,1,0%,50
kaa-edu.or.kr,0,1,0%,51
zentangle certification,0,1,0%,55
recycled art definition,0,1,0%,56
recycled materials association,0,1,0%,57
carver center kokomo,0,1,0%,61
art indiana,0,1,0%,64
