Country,Clicks,Impressions,CTR,Position
United States,95,1906,4.98%,15.9
Bangladesh,1,2,50%,45.5
Australia,0,287,0%,6.76
India,0,37,0%,68.41
Canada,0,30,0%,23.77
United Kingdom,0,24,0%,34.92
Spain,0,19,0%,50.58
Germany,0,12,0%,50.5
Philippines,0,11,0%,29.73
Brazil,0,7,0%,9.43
Netherlands,0,7,0%,46.57
Italy,0,7,0%,48.14
Ireland,0,6,0%,34.83
Saudi Arabia,0,5,0%,2.4
Indonesia,0,5,0%,9.6
Israel,0,4,0%,63.25
Turkey,0,3,0%,27.67
South Africa,0,3,0%,46.67
Sweden,0,3,0%,54.67
Switzerland,0,2,0%,5.5
Guadeloupe,0,2,0%,6
Morocco,0,2,0%,6.5
Honduras,0,2,0%,7.5
Nicaragua,0,2,0%,8
Iran,0,2,0%,10.5
Japan,0,2,0%,22
South Korea,0,2,0%,28.5
France,0,2,0%,31
Bulgaria,0,2,0%,36.5
Belgium,0,2,0%,37.5
Denmark,0,2,0%,38.5
Norway,0,2,0%,39
Kazakhstan,0,2,0%,46
Tunisia,0,2,0%,50
New Zealand,0,2,0%,56
Pakistan,0,1,0%,2
Algeria,0,1,0%,3
Ecuador,0,1,0%,3
Sri Lanka,0,1,0%,3
Vietnam,0,1,0%,3
Curaçao,0,1,0%,4
Martinique,0,1,0%,6
Taiwan,0,1,0%,6
Uruguay,0,1,0%,8
Finland,0,1,0%,9
Mexico,0,1,0%,9
Hong Kong,0,1,0%,10
Singapore,0,1,0%,10
Belize,0,1,0%,11
Venezuela,0,1,0%,12
Ethiopia,0,1,0%,15
Burundi,0,1,0%,17
Bahamas,0,1,0%,27
Malaysia,0,1,0%,29
Costa Rica,0,1,0%,43
China,0,1,0%,44
Russia,0,1,0%,44
Poland,0,1,0%,51
Latvia,0,1,0%,53
Ukraine,0,1,0%,59
Uzbekistan,0,1,0%,62
Romania,0,1,0%,72
