Date,Clicks,Impressions,CTR,Position
2025-09-07,1,86,1.16%,24.4
2025-09-06,1,74,1.35%,20.07
2025-09-05,6,107,5.61%,13.41
2025-09-04,1,71,1.41%,22.46
2025-09-03,4,117,3.42%,16.22
2025-09-02,1,108,0.93%,23.06
2025-09-01,3,74,4.05%,21.53
2025-08-31,3,99,3.03%,21.79
2025-08-30,3,78,3.85%,30.17
2025-08-29,8,86,9.3%,29.16
2025-08-28,2,93,2.15%,25.55
2025-08-27,4,88,4.55%,18.05
2025-08-26,6,110,5.45%,14.16
2025-08-25,5,90,5.56%,17.48
2025-08-24,3,90,3.33%,9.69
2025-08-23,5,83,6.02%,17.33
2025-08-22,3,77,3.9%,17
2025-08-21,3,81,3.7%,14.53
2025-08-20,6,89,6.74%,9.24
2025-08-19,2,139,1.44%,9.47
2025-08-18,5,75,6.67%,14.96
2025-08-17,3,102,2.94%,8.94
2025-08-16,3,81,3.7%,12.04
2025-08-15,4,67,5.97%,14.19
2025-08-14,2,65,3.08%,13.66
2025-08-13,3,57,5.26%,12.28
2025-08-12,1,63,1.59%,14.32
2025-08-11,5,87,5.75%,15.24
