Top pages,Clicks,Impressions,CTR,Position
https://www.kaaonline.org/,48,1417,3.39%,16.44
https://www.kaaonline.org/classes,17,491,3.46%,8.66
https://www.kaaonline.org/kokomo-art-center,8,351,2.28%,9.03
https://www.kaaonline.org/artworks-gallery,5,239,2.09%,7.45
https://www.kaaonline.org/digital-photography,5,67,7.46%,29.18
https://www.kaaonline.org/artists,4,332,1.2%,12
https://www.kaaonline.org/about,4,312,1.28%,5.55
https://www.kaaonline.org/membership-benefits,3,58,5.17%,12.97
https://www.kaaonline.org/recycledartshow,2,94,2.13%,17.3
https://www.kaaonline.org/ramona-daniels,2,64,3.12%,23.94
https://www.kaaonline.org/membership,2,46,4.35%,3.39
https://www.kaaonline.org/laura-groves,2,17,11.76%,7.82
https://www.kaaonline.org/don-wilka,2,14,14.29%,11.93
https://www.kaaonline.org/peggy-ragland-hobson,1,20,5%,19.75
https://www.kaaonline.org/volunteer,1,11,9.09%,33.09
https://www.kaaonline.org/donate,1,2,50%,25.5
https://www.kaaonline.org/coming-soon-03-1,0,174,0%,5.11
https://www.kaaonline.org/calendar,0,89,0%,5.53
https://www.kaaonline.org/marilyn-aleman,0,67,0%,16.6
https://www.kaaonline.org/bazaar,0,60,0%,10.02
https://www.kaaonline.org/lesley-wysong,0,34,0%,3.74
https://www.kaaonline.org/zentangle-r,0,34,0%,35.97
https://www.kaaonline.org/dixie-ben-net,0,33,0%,18.09
https://www.kaaonline.org/event-details/halloween-junk-journaling-workshop,0,32,0%,9.5
https://www.kaaonline.org/steve-creighton,0,29,0%,10.86
https://www.kaaonline.org/colette-inderhees,0,28,0%,37.14
https://www.kaaonline.org/about-1,0,21,0%,15.29
https://www.kaaonline.org/sip-paint-painting-parties,0,20,0%,6.45
https://www.kaaonline.org/rebecca-rayls,0,17,0%,26.41
https://www.kaaonline.org/mark-hobson,0,16,0%,36.56
https://www.kaaonline.org/event-details/junk-journal-workshop-march-15th-2025,0,12,0%,14.17
https://www.kaaonline.org/halloweenjunkjournal,0,10,0%,3.7
https://www.kaaonline.org/event-details/holiday-bazaar-at-artworks-gallery,0,5,0%,3.8
https://www.kaaonline.org/lisa-ananich-freeland,0,5,0%,14.6
https://www.kaaonline.org/event-details/halloween-junk-journal-class-2024-09-21-13-00,0,5,0%,19.4
https://www.kaaonline.org/event-details/halloween-junk-journal-class-2024-09-14-13-00,0,4,0%,15.5
https://www.kaaonline.org/event-details/paper-cutting-class-by-christina-hollering,0,2,0%,3
https://www.kaaonline.org/event-details/christmas-junk-journal-class-1,0,2,0%,4
https://www.kaaonline.org/event-details/trash-to-treasure-junk-journaling-workshop,0,2,0%,4
https://www.kaaonline.org/event-details/fall-junk-journal-class,0,2,0%,5
https://www.kaaonline.org/shelly-wilder,0,1,0%,9
