# ----------------------------------------
# Reports snapshot
# Account: KAA
# Property: website
# ----------------------------------------
#  
# Start date: 20250801
# End date: 20250831
Active users,New users,Average engagement time per active user,Event count
392,365,161.6173469387755,5837

# Start date: 20250701
# End date: 20250731
Active users,New users,Average engagement time per active user,Event count
78,75,75.26923076923077,694

#  
# Start date: 20250801
# End date: 20250831
Page title and screen class,Views,Active users,Event count,Bounce rate
"Kokomo Art Association | shop artwork | Downtown, Kokomo, Center Township, Indiana, United States",496,249,1509,0.35492957746478876
"Artists | Kokomo Art Association | Kokomo, Indiana",151,31,188,0.05263157894736842
"Classes | Kokomo Art Association | Kokomo, Indiana",137,41,197,0.058823529411764705
Workshops & Events | kokomoartassociation,93,32,222,0.025
"About | Kokomo Art Association | Kokomo, Indiana",89,44,160,0.14545454545454545
"Artworks Gallery | Kokomo Art Association | Kokomo, Indiana",86,37,124,0.025
"Kokomo Art Center | Kokomo Art Association | Kokomo, Indiana",81,34,135,0.14634146341463414
KAA 2025 Holiday Bazaar | kokomoartassociation,62,18,168,0.1935483870967742
Membership | kokomoartassociation,36,21,81,0.06896551724137931
Halloween Junk Journaling Workshop | kokomoartassociation,42,21,119,0.24242424242424243
Volunteer | kokomoartassociation,34,17,77,0.11538461538461539
Events | kokomoartassociation,35,17,53,0
Watercolor Techniques | kokomoartassociation,20,8,26,0.18181818181818182
Zentangle® | kokomoartassociation,24,8,41,0.05263157894736842
Digital Photography | kokomoartassociation,30,8,57,0.125
Calendar | kokomoartassociation,26,10,32,0.08333333333333333
Contact Us | kokomoartassociation,22,11,39,0.08333333333333333
Membership Benefits | kokomoartassociation,24,13,46,0.05263157894736842
Workshops & Events   | kokomoartassociation,21,12,21,0
Marilyn Aleman | kokomoartassociation,12,7,19,0.125
Painting with Ramona | kokomoartassociation,8,5,10,0
Don Wilka | kokomoartassociation,9,3,13,0.2857142857142857
Mission Statement | kokomoartassociation,15,8,28,0.09090909090909091
Dixie Ben-net | kokomoartassociation,8,4,8,0
Lesley Wysong | kokomoartassociation,8,1,8,0
Ramona Daniels | kokomoartassociation,10,5,15,0
Shelly Wilder | kokomoartassociation,8,4,8,0
Steve Creighton | kokomoartassociation,8,3,8,0
Mark Hobson | kokomoartassociation,7,2,7,0
Lisa Ananich Freeland | kokomoartassociation,5,3,7,0
Peggy Ragland Hobson | kokomoartassociation,6,4,10,0.25
Recycled Art Show | kokomoartassociation,4,4,10,0.5
Angela Walthour | kokomoartassociation,3,2,4,0
Corinne McAuley | kokomoartassociation,3,1,3,0
Sip & Paint Parties | kokomoartassociation,0,0,0,0
Trash to Treasure Junk Journaling Workshop | kokomoartassociation,4,2,9,0
Textured Painting Class| 4 Sessions (Tuesdays 5/6- 27/25) @1 p.m. | kokomoartassociation,1,1,1,0
Halloween Junk Journal Class | kokomoartassociation,2,1,2,0
Laura Groves | kokomoartassociation,2,2,9,0
404 | kokomoartassociation,1,1,3,0
Colette Inderhees | kokomoartassociation,1,2,5,0.5
Donate | kokomoartassociation,1,1,4,0
Fall Junk Journal Class | kokomoartassociation,1,1,1,0
Holiday Bazaar at Artworks Gallery | kokomoartassociation,1,1,2,0
Paper Cutting Class by Christina Hollering | kokomoartassociation,1,1,3,1
